starttime,close,high,interval,low,open,quotevolume,symbol,tradenum,volume,vrb_bb_upper,vrb_bb_lower,st_line,st_dir,st_up,st_dn
2023-08-01 00:00:00,28835.0,29347.16,4h,28720.0,29232.26,251519496.97246513,BTCUSDT,170121,8673.02328,,,0.0,1,0.0,0.0
2023-08-01 04:00:00,28937.3,28970.81,4h,28803.5,28835.01,143479371.6731395,BTCUSDT,101954,4964.8536,,,0.0,1,0.0,0.0
2023-08-01 08:00:00,28862.19,28995.59,4h,28862.18,28937.31,105429267.9272075,BTCUSDT,81986,3644.73244,,,0.0,1,0.0,0.0
2023-08-01 12:00:00,28954.0,28980.0,4h,28585.7,28862.19,276282327.5446531,BTCUSDT,197831,9581.32861,,,0.0,1,0.0,0.0
2023-08-01 16:00:00,29274.41,29335.0,4h,28864.01,28953.99,257474749.72295168,BTCUSDT,182656,8846.63298,,,0.0,1,0.0,0.0
2023-08-01 20:00:00,29705.99,29739.25,4h,29180.0,29274.42,264975001.2375072,BTCUSDT,165593,9009.08071,,,0.0,1,0.0,0.0
2023-08-02 00:00:00,29632.96,30047.5,4h,29622.5,29705.99,384373830.0115068,BTCUSDT,229621,12892.26158,,,0.0,1,0.0,0.0
2023-08-02 04:00:00,29577.26,29719.77,4h,29564.0,29632.96,153965133.220049,BTCUSDT,98554,5196.11558,,,0.0,1,0.0,0.0
2023-08-02 08:00:00,29562.49,29577.26,4h,29378.62,29577.25,201283014.82999712,BTCUSDT,137852,6827.56627,,,0.0,1,0.0,0.0
2023-08-02 12:00:00,29321.4,29603.8,4h,29169.04,29562.49,279916587.789461,BTCUSDT,196220,9531.2654,,,0.0,1,0.0,0.0
2023-08-02 16:00:00,29151.56,29364.0,4h,28927.5,29321.39,321938749.3572359,BTCUSDT,213718,11051.05572,,,0.0,1,0.0,0.0
2023-08-02 20:00:00,29186.01,29233.06,4h,29066.35,29151.57,78252429.4415021,BTCUSDT,69193,2683.38686,,,0.0,1,0.0,0.0
2023-08-03 00:00:00,29182.14,29275.8,4h,29126.34,29186.0,98369911.9904124,BTCUSDT,75913,3369.62096,,,0.0,1,0.0,0.0
2023-08-03 04:00:00,29044.17,29192.0,4h,29013.04,29182.13,111704015.1685194,BTCUSDT,90644,3838.38639,,,0.0,1,0.0,0.0
2023-08-03 08:00:00,29146.01,29197.78,4h,28968.0,29044.16,103539448.1414244,BTCUSDT,106604,3557.08908,,,0.0,1,0.0,0.0
2023-08-03 12:00:00,29259.07,29433.33,4h,29078.43,29146.01,211616435.3656028,BTCUSDT,176685,7234.91983,,,0.0,1,0.0,0.0
2023-08-03 16:00:00,29281.32,29368.86,4h,29137.55,29259.07,147507531.9845382,BTCUSDT,113698,5040.57791,,,0.0,1,0.0,0.0
2023-08-03 20:00:00,29193.64,29361.14,4h,29165.46,29281.32,100565362.8442657,BTCUSDT,88426,3436.32577,,,0.0,1,0.0,0.0
2023-08-04 00:00:00,29161.29,29251.68,4h,29100.0,29193.65,80496392.6074274,BTCUSDT,66156,2758.43275,,,0.0,1,0.0,0.0
2023-08-04 04:00:00,29212.92,29253.02,4h,29134.7,29161.28,81375644.4393054,BTCUSDT,61483,2786.72183,,,37710.9335,1,37710.9335,20663.2765
2023-08-04 08:00:00,29167.51,29263.52,4h,29137.0,29212.91,94420003.8852804,BTCUSDT,65601,3233.96545,,,37300.339824999995,1,37300.339824999995,21080.090174999998
2023-08-04 12:00:00,29274.28,29333.08,4h,29130.0,29167.51,153818325.9945052,BTCUSDT,123393,5261.81968,,,36954.875333749995,1,36954.875333749995,21486.91466625
2023-08-04 16:00:00,29032.06,29286.7,4h,28950.0,29274.28,159456512.0860293,BTCUSDT,125532,5475.27303,,,36567.061817062495,1,36567.061817062495,21739.2781829375
2023-08-04 20:00:00,29113.99,29130.35,4h,28807.54,29032.05,117076574.3805427,BTCUSDT,102685,4035.73943,29769.145636153327,28653.268530513335,36138.752976209376,1,36138.752976209376,22007.297023790627
2023-08-05 00:00:00,29094.53,29152.23,4h,29065.11,29114.0,65149411.13971,BTCUSDT,54042,2238.91853,29748.56858312262,28695.473083544046,35822.05307739891,1,35822.05307739891,22386.466922601096
2023-08-05 04:00:00,29052.81,29097.72,4h,29035.0,29094.52,65046935.8022629,BTCUSDT,49816,2237.92793,29740.11063555031,28713.556864449678,35467.04642352896,1,35467.04642352896,22680.29357647104
2023-08-05 08:00:00,29048.0,29090.39,4h,29044.37,29052.81,69330116.1031407,BTCUSDT,52626,2385.2365,29721.17704229007,28747.974624376595,35125.43535235251,1,35125.43535235251,22975.374647647484
2023-08-05 12:00:00,29041.49,29082.13,4h,28978.64,29048.01,73399962.9054977,BTCUSDT,78366,2527.96804,29713.5167807793,28762.925719220704,34817.81408473489,1,34817.81408473489,23271.675915265114
2023-08-05 16:00:00,29067.35,29099.0,4h,29009.37,29041.49,37590070.8106629,BTCUSDT,53854,1293.61863,29711.986705516454,28747.200794483546,34545.94713049814,1,34545.94713049814,23562.892869501855
2023-08-05 20:00:00,29072.13,29092.38,4h,29052.5,29067.36,27962063.3605505,BTCUSDT,43220,961.85055,29622.34628685826,28784.019546475076,34288.005273973235,1,34288.005273973235,23851.47472602676
2023-08-06 00:00:00,29063.99,29078.95,4h,29036.0,29072.13,50283921.494339,BTCUSDT,45656,1730.38101,29538.82194165869,28820.129725007977,34027.65051027457,1,34027.65051027457,24108.46948972543
2023-08-06 04:00:00,29092.68,29107.48,4h,29045.96,29064.0,74279462.1142289,BTCUSDT,48528,2554.57467,29454.81372886293,28863.75627113707,33797.83573476084,1,33797.83573476084,24358.834265239155
2023-08-06 08:00:00,29078.01,29142.0,4h,29047.82,29092.68,63230097.5065683,BTCUSDT,53361,2173.81719,29349.2732845975,28928.923382069162,33572.904948022806,1,33572.904948022806,24597.7850519772
2023-08-06 12:00:00,29012.93,29078.01,4h,28991.88,29078.01,74759996.8904309,BTCUSDT,68580,2574.91787,29322.7951416065,28929.695691726836,33326.54895062166,1,33326.54895062166,24764.39104937834
2023-08-06 16:00:00,29088.0,29102.91,4h,29000.52,29012.92,40497578.9299877,BTCUSDT,51992,1393.09127,29320.579293623494,28926.614873043167,33138.134253090575,1,33138.134253090575,24962.79574690942
2023-08-06 20:00:00,29088.42,29205.09,4h,29038.13,29088.0,80158441.9421957,BTCUSDT,70537,2751.41519,29314.483335416753,28924.578331249915,32971.61129043605,1,32971.61129043605,25204.80870956395
2023-08-07 00:00:00,29162.67,29229.62,4h,29018.25,29088.43,101094724.3882604,BTCUSDT,78820,3469.1155,29312.281427923677,28925.157738742993,32835.194975914244,1,32835.194975914244,25415.895024085752
2023-08-07 04:00:00,29094.09,29197.82,4h,29050.77,29162.66,91799906.3501588,BTCUSDT,67554,3151.67245,29310.930639488153,28930.668527178506,32671.40697711853,1,32671.40697711853,25585.353022881463
2023-08-07 08:00:00,29091.44,29153.86,4h,29045.14,29094.09,83516255.2204546,BTCUSDT,66898,2870.95625,29308.726963570738,28928.32470309593,32459.369378262607,1,32459.369378262607,25726.160621737392
2023-08-07 12:00:00,28858.44,29150.0,4h,28788.73,29091.44,233105379.7879001,BTCUSDT,182844,8042.90902,29318.4125902858,28885.253243047533,32237.289159349475,1,32237.289159349475,25726.160621737392
2023-08-07 16:00:00,29154.91,29186.74,4h,28701.03,28858.45,296130159.03555405,BTCUSDT,198151,10217.00216,29294.246190712587,28898.885475954074,32187.435951382,1,32187.435951382,25825.914048617997
2023-08-07 20:00:00,29211.06,29276.78,4h,29121.12,29154.91,93846170.8989437,BTCUSDT,77171,3215.22208,29297.37665338415,28897.206679949184,32187.435951382,1,32187.435951382,26145.820846187096
2023-08-08 00:00:00,29195.08,29260.1,4h,29146.45,29211.06,76311512.1567292,BTCUSDT,58583,2613.81378,29302.28065165536,28895.11851501131,32092.770446122257,1,32092.770446122257,26313.369553877743
2023-08-08 04:00:00,29187.62,29331.24,4h,29181.81,29195.09,116520479.3842289,BTCUSDT,77338,3984.65386,29297.895021194396,28897.395812138937,31938.616923816146,1,31938.616923816146,26444.08307618385
2023-08-08 08:00:00,29438.63,29441.96,4h,29171.47,29187.62,136919715.0739557,BTCUSDT,99319,4673.9121,29370.303854477457,28847.580312189206,31938.616923816146,1,31938.616923816146,26634.193672374662
2023-08-08 12:00:00,29535.39,29674.7,4h,29354.0,29438.63,360706774.8358761,BTCUSDT,225655,12230.25712,29448.166131579506,28791.477201753827,31938.616923816146,1,31938.616923816146,26915.41623875593
2023-08-08 16:00:00,29884.24,29950.0,4h,29535.38,29535.38,402449124.83202046,BTCUSDT,237011,13510.46737,29655.42427048218,28655.234062851152,31938.616923816146,1,31938.616923816146,27170.867176818134
2023-08-08 20:00:00,29770.42,30244.0,4h,29685.76,29884.23,260026925.38315687,BTCUSDT,179262,8687.42969,29768.76889363705,28596.59193969629,31938.616923816146,1,31938.616923816146,27384.029067977226
2023-08-09 00:00:00,29716.01,29883.1,4h,29613.0,29770.41,169669976.725576,BTCUSDT,96417,5699.9951,29849.94755878574,28567.203274547584,31938.616923816146,1,31938.616923816146,27407.11636457836
2023-08-09 04:00:00,29818.0,29821.29,4h,29673.34,29716.0,137481088.1789881,BTCUSDT,79000,4621.81004,29944.308339462812,28536.608327203852,31938.616923816146,1,31938.616923816146,27519.66404634944
2023-08-09 08:00:00,29888.32,29914.19,4h,29740.01,29818.01,142089819.858435,BTCUSDT,98533,4765.65488,30041.89203182437,28509.051301508967,31938.616923816146,1,31938.616923816146,27698.84809403197
2023-08-09 12:00:00,29761.7,30160.0,4h,29676.86,29888.32,343629828.0320706,BTCUSDT,228912,11490.49149,30098.627275161056,28512.333558172268,31906.42681066963,1,31906.42681066963,27743.593189330375
2023-08-09 16:00:00,29416.22,29774.0,4h,29396.95,29761.7,248822962.98393393,BTCUSDT,168061,8420.25502,30104.992871310875,28535.040462022458,31661.312970136143,1,31661.312970136143,27743.593189330375
2023-08-09 20:00:00,29581.99,29626.0,4h,29376.67,29416.21,88703174.3184079,BTCUSDT,79329,3005.68072,30125.63147106743,28556.890195599237,31513.42707162934,1,31513.42707162934,27743.593189330375
2023-08-10 00:00:00,29582.63,29660.06,4h,29566.66,29581.99,91372258.5836816,BTCUSDT,62935,3086.43915,30142.27421275905,28583.46745390762,31496.091968047873,1,31496.091968047873,27743.593189330375
2023-08-10 04:00:00,29512.0,29616.98,4h,29491.11,29582.63,104145119.009447,BTCUSDT,63185,3524.95587,30149.98012672529,28610.704873274713,31384.831119645478,1,31384.831119645478,27743.593189330375
2023-08-10 08:00:00,29504.01,29559.98,4h,29476.0,29511.99,102256895.3799195,BTCUSDT,67860,3463.97279,30153.441616242835,28642.743383757163,31255.842563663202,1,31255.842563663202,27760.167436336793
2023-08-10 12:00:00,29466.0,29738.0,4h,29400.0,29504.01,239499969.4435392,BTCUSDT,176700,8102.29021,30145.594448642587,28688.346384690747,31155.90343548004,1,31155.90343548004,27814.106564519956
2023-08-10 16:00:00,29444.52,29478.07,4h,29320.2,29465.99,108205324.3407387,BTCUSDT,95007,3677.42824,30140.012359197946,28723.63847413538,31048.520513706044,1,31048.520513706044,27861.99948629396
2023-08-10 20:00:00,29455.75,29488.29,4h,29422.71,29444.52,47383905.3303989,BTCUSDT,48004,1608.36747,30132.33407070605,28761.927595960617,30966.820738020742,1,30966.820738020742,27933.44926197926
2023-08-11 00:00:00,29412.0,29498.17,4h,29352.47,29455.76,85317193.4537375,BTCUSDT,56011,2899.21477,30126.905832946184,28788.133333720478,30886.757701119703,1,30886.757701119703,27980.992298880297
2023-08-11 04:00:00,29417.28,29490.0,4h,29380.04,29412.0,98659028.4310782,BTCUSDT,56234,3351.66422,30113.613361448544,28828.358305218127,30796.330566063716,1,30796.330566063716,28032.949433936283
2023-08-11 08:00:00,29445.96,29452.33,4h,29350.0,29417.28,112046641.1272255,BTCUSDT,66277,3809.67776,30097.521457971863,28873.99354202813,30752.11303776053,1,30752.11303776053,28111.12696223947
2023-08-11 12:00:00,29395.89,29564.52,4h,29354.0,29445.96,172719607.1186323,BTCUSDT,125288,5863.2428,30028.48095803936,28987.82154196064,30689.162635872504,1,30689.162635872504,28152.687364127494
2023-08-11 16:00:00,29396.76,29431.03,4h,29252.45,29395.9,103192147.4066245,BTCUSDT,88897,3515.35274,30008.987902652603,29027.468764014062,30601.390004078876,1,30601.390004078876,28191.25999592112
2023-08-11 20:00:00,29426.03,29444.73,4h,29396.76,29396.76,35241433.7642387,BTCUSDT,45121,1197.89201,29994.0754125759,29060.295420757426,30564.256003874933,1,30564.256003874933,28258.53399612506
2023-08-12 00:00:00,29402.07,29460.73,4h,29381.56,29426.02,46510005.1624353,BTCUSDT,47900,1581.2942,29974.985935050005,29096.63406494999,30515.85695368119,1,30515.85695368119,28312.24304631881
2023-08-12 04:00:00,29421.49,29426.68,4h,29384.82,29402.06,50333562.0066399,BTCUSDT,47173,1711.51601,29950.663798287205,29140.445368379456,30463.83710599713,1,30463.83710599713,28359.72289400287
2023-08-12 08:00:00,29429.85,29434.35,4h,29390.57,29421.48,64416267.3861277,BTCUSDT,65045,2189.80574,29950.924713270746,29139.452786729256,30427.42325069727,1,30427.42325069727,28423.916749302727
